장르,노래제목,가수
블루스,Forrózinho (포호징뉴),베르지 (Verde)
블루스,낯선 곳에서,한그린
블루스,우주끈 (Cosmic String),허소
블루스,그냥 만들었어,무적기타
블루스,빗속의 연가,Blue315
블루스,"오늘은, 벚꽃",Rowon
블루스,들려줄 이야기 (권정민 Original Ver.),Betty
블루스,이름 없는 이름을 불러주세요,빛나
블루스,쩔뚝쩔뚝 봄,오후&성지송
블루스,그대라는 바람,마마사라 (MaMasarah)
블루스,그라데이션,10CM
블루스,얼음땡,이찬주
